,b,b_std
pro::flipt-io__flipt-967855b429f749c28c112b8cb1b15bc79157f973,1.4507743,0.7288964
pro::flipt-io__flipt-96820c3ad10b0b2305e8877b6b303f7fafdf815f,4.8985457,1.7447149
pro::flipt-io__flipt-9d25c18b79bc7829a6fb08ec9e8793d5d17e2868,4.716093,1.8560659
pro::flipt-io__flipt-9f8127f225a86245fa35dca4885c2daef824ee55,4.839034,1.6165318
pro::flipt-io__flipt-a0cbc0cb65ae601270bdbe3f5313e2dfd49c80e4,4.8062305,1.814463
pro::flipt-io__flipt-a42d38a1bb1df267c53d9d4a706cf34825ae3da9,4.952274,1.4789318
pro::flipt-io__flipt-abaa5953795afb9c621605bb18cb32ac48b4508c,1.0331187,0.6966849
pro::flipt-io__flipt-aebaecd026f752b187f11328b0d464761b15d2ab,-0.75228685,0.54832864
pro::flipt-io__flipt-af7a0be46d15f0b63f16a868d13f3b48a838e7ce,4.9549494,1.5620964
pro::flipt-io__flipt-b2170346dc37cf42fda1386cd630f24821ad2ac5,-0.3818115,0.597896
pro::flipt-io__flipt-b22f5f02e40b225b6b93fff472914973422e97c6,0.4209765,0.58872676
pro::flipt-io__flipt-b2393f07d893024ab1e47ea2081e0289e1f9d56f,1.1261634,0.60955775
pro::flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06,4.8016896,1.6193688
pro::flipt-io__flipt-b3cd920bbb25e01fdb2dab66a5a913363bc62f6c,4.8373523,1.7601349
pro::flipt-io__flipt-b433bd05ce405837804693bebd5f4b88d87133c8,2.8893137,1.1073023
pro::flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,0.25377217,0.60095507
pro::flipt-io__flipt-b68b8960b8a08540d5198d78c665a7eb0bea4008,2.0778992,0.73433393
pro::flipt-io__flipt-b6cef5cdc0daff3ee99e5974ed60a1dc6b4b0d67,2.9479523,1.0686944
pro::flipt-io__flipt-c12967bc73fdf02054cf3ef8498c05e25f0a18c0,-1.1794997,0.69689405
